judul,lokasi,keterangan,kategori,tanggal_awal,tanggal_akhir,klien
Pengawasan Pembangunan Ajungan Dermaga Jetty (GWD),Kecamatan Wongsorejo,,Pengawasan Pengairan,23-11-2016,22-12-2016,Pemerintah Kabupaten Banyuwangi Dinas Kebudayaan Dan Pariwisata
"Pengawasan Pengembangan Instalasi Air Besrsih Trianggulasi, Ngagelan, dan Rowobendo",Kawasan Taman Nasional Alas Purwo,,Pengawasan Pengairan,19-06-2017,15-09-2017,Kementrian Lingkungan Hidup dan Kehutanan 
Pengawasan Pembangunan Sarana Dan Prasarana Air Bersih Desa Glagah Agung Kec. Purwoharjo,Kecamatan Purwoharjo,,Pengawasan Pengairan,06-06-2017,03-10-2017,Dinas Pekerjaan Umum Pengairan Pemerintah Kabupaten Banyuwangi
Pengawasan Pembangunan  Sarana Dan Prasarana Air Bersih IKK Banyuwangi,Kabupaten Banyuwangi,,Pengawasan Pengairan,24-07-2017,20-12-2017,Dinas Pekerjaan Umum Pengairan Pemerintah Kabupaten Banyuwangi
Pengawasan Pembangunan Sarana Dan Prasarana Air Desa Kesilir Kec. Siliragung,Kecamatan Siliragung,,Pengawasan Pengairan,06-06-2017,03-10-2017,Dinas Pekerjaan Umum Pengairan Pemerintah Kabupaten Banyuwangi
Pengawasan Pembangunan Sarana Dan Prasarana Air Desa Sukorejo Kec. Bangorejo,Kecamatan Bangorejo,,Pengawasan Pengairan,06-06-2017,03-10-2017,Dinas Pekerjaan Umum Pengairan Pemerintah Kabupaten Banyuwangi
Pengawasan Peningkatan Kualitas Sarana dan Prasarana Wisata Alam Di Trianggulasi,Kawasan Taman Nasional Alas Purwo,,Pengawasan Pengairan,14-07-2017,10-12-2017,Kementrian Lingkungan Hidup dan Kehutanan Taman Nasional Alas Purwo
"Supervision of Project Water Supply, Water Treatment Using Aerotion Method and Reserve Osmosis of Mining Plant","Loa Tebu Village, Road of Minning Coal Tenggarong – Kalimantan Timur",,Pengawasan Pengairan,04-05-2017,06-12-2017,Ching Hwa Indonesia
KSL-17.30 Pengawasan Pembangunan Sarana dan Prasarana Air Bersih IKK Gambiran dan IKK Genteng,Kec. Gambiran dan Kec. Genteng,,Pengawasan Pengairan,21-08-2017,18-12-2017,Dinas Pekerjaan Umum Pengairan Pemerintah Kabupaten Banyuwang
KSL-17.30 Pengawasan Pembangunan Sarana dan Prasarana Air Bersih IKK Gambiran dan IKK Genteng,Kabupaten Banyuwangi,,Pengawasan Pengairan,21-08-2017,19-12-2017,Dinas Pengairan Kabupaten Banyuwangi
Pengawasan Pengembangan Jaringan Irigasi  Di Desa Wonosobo Kecamatan Srono ,Desa Wonosobo Kecamatan Srono,,Pengawasan Pengairan,06-03-2018,18-05-2018,Dinas Pertanian Pemerintah Kabupaten Banyuwangi 
Pengawasan Pengembangan Jaringan Irigasi di Desa Kepundungan Kecamatan Srono ,Desa Kepundungan Kecamatan Srono ,,Pengawasan Pengairan,06-03-2018,18-05-2018,Dinas Pertanian Pemerintah Banyuwangi 
Pengawasan Pembangunan Saranan Dan Prasarana Air Bersih Ds. Barurejo Siliragung  - DS. Karangsoro Tegalsari,DS. Barurejo Siliragung  - DS. Karangsoro Tegalsari,,Pengawasan Pengairan,01-08-2018,28-12-2018,Dinas Pekerjaan Umum Pengairan
Pengawasan Pembangunan Saranan Dan Prasarana Air Bersih IKK Gambiran Dan IKK Genteng (Lanjutan),Kabupaten Banyuwangi,,Pengawasan Pengairan,01-08-2018,28-12-2018,Dinas Pekerjaan Umum Pengairan Banyuwangi
KSL-18.14 Pengawasan Pembangunan Sarana dan Prasarana Air Bersih Kawasan Ketapang IKK Kalipuro dan IKK Wongsorejo,Kec. Kalipuro dan Kec. Wongsorejo,,Pengawasan Pengairan,22-08-2018,20-12-2018,Dinas Pekerjaan Umum Pengairan Pemerintah Kabupaten Banyuwang
KSL-18.14 Pengawasan Pembangunan Sarana dan Prasarana Air Bersih Kawasan Ketapang Kalipuro dan IKK Wongsorejo,Kabupaten Banyuwangi,,Pengawasan Pengairan,22-08-2018,20-12-2018,Dinas Pengairan Kabupaten Banyuwangi
Pengawasan Pembangunan  Jaringan Irigasi Tersier Hortikultura Desa Kembiritan Desa Kembiritan Kec. Genteng,Kecamatan Genteng ,,Pengawasan Pengairan,22-04-2019,21-05-2019,Dinas Pertanian Pemerintah Kabupaten Banyuwangi 
Pengawasan Pembangunan Jaringan Irigasi Tersier Hortikultura Desa Sumbermulyo Kec. Pesanggaran,Kecamatan Pesangggaran,,Pengawasan Pengairan,22-04-2019,16-05-2019,Dinas Pertanian Pemerintah Kabupaten Banyuwangi 
Pengawasan Jaringan Irigasi Tersier Hortikultura Desa Bulurejo Kecamatan Purwoharjo,Kecamatan Purwoharjo,,Pengawasan Pengairan,22-04-2019,15-05-2019,Dinas Pertanian Pemerintah Kabupaten Banyuwangi 
Pengawasan Jaringan Irigasi Tersier Hortikultura Desa Tamanagung Kec. Cluring ,Kecamatan Cluring,,Pengawasan Pengairan,29-04-2019,27-05-2019,Dinas Pertanian Pemerintah Kabupaten Banyuwangi 
Pengawasan Pembangunan Jaringan Irigasi Tersier Hortikultura Desa KAretan Kec. Purwoharjo,Kecamatan Purwoharjo,,Pengawasan Pengairan,29-04-2019,28-05-2019,Dinas Pertanian Pemerintah Kabupaten Banyuwangi 
Pengawasan Pembangunan Jaringan Irigasi Tersier Hortikultura Desa Kradenan Kec. Purwoharjo,Kecamatan Purwoharjo,,Pengawasan Pengairan,06-05-2019,12-06-2019,Dinas Pertanian Pemerintah Kabupaten Banyuwangi 
Pengawasan Pembangunan Jaringan Irigasi Tersier Hortikultura Desa Sumberagung Kec. Pesanggaran,Kecamatan Pesanggaran,,Pengawasan Pengairan,06-05-2019,20-05-2019,Dinas Pertanian Pemerintah Kabupaten Banyuwangi 
Pengawasan Jaringan Irigasi Tersier Mendukung Kawasan Hortikultura di Desa Glagahagung Kec. Purwoharjo,Kecamatan Purwoharjo,,Pengawasan Pengairan,22-05-2019,28-06-2019,Dinas Pertanian Pemerintah Kabupaten Banyuwangi 
Pengawasan Jaringan Irigasi Tersier Mendukung Kawasan Hortikultura di Desa Purwoharjo Kec. Purwoharjo,Kecamatan Purwoharjo,,Pengawasan Pengairan,22-05-2019,19-06-2019,Dinas Pertanian Pemerintah Kabupaten Banyuwangi 
Pengawasan Jaringan Irigasi Tersier Mendukung Kawasan Hortikultura di Dsn. Silirsari Ds. Kesilir Kec. Siliragung,Kecamatan Purwoharjo,,Pengawasan Pengairan,27-05-2019,19-06-2019,Dinas Pertanian Pemerintah Kabupaten Banyuwangi 
Jasa Pengawasan Pekerjaan Pembangunan Sumur Bor mendukung Desa Cluring Kec. cluring,Kec. Cluring,,Pengawasan Pengairan,08-10-2019,12-11-2019,Dinas Pertanian Kabupaten Banyuwangi
Jasa Pengawasan Pengembangan Jaringan Irigasi Tersier di Desa Tambong Kecamatan Kabat,Desa Tambong Kecamatan Kabat,,Pengawasan Pengairan,05-05-2020,08-07-2020,Dinas Pertanian dan Pangan Kabupaten Banyuwangi
Jasa Pengawasan Pengembangan Jaringan Irigasi Tersier di Desa Pesanggaran Kecamatan Pesanggaran,Desa Pesanggaran Kecamatan Pesanggaran,,Pengawasan Pengairan,05-05-2020,08-07-2020,Dinas Pertanian dan Pangan Kabupaten Banyuwangi
Jasa Pengawasan Pengembangan Jaringan Irigasi Tersier Di Desa Tulungrejo Kecamatan Glenmore,Desa Tulungrejo Kecamatan Glenmore,,Pengawasan Pengairan,06-05-2020,08-07-2020,Dinas Pertanian dan Pangan Kabupaten Banyuwangi
Jasa Pengawasan Pengembangan Jaringan Irigasi Tersier Di Desa Gombolirang Kecamatan Kabat,Desa Gombolirang Kecamatan Kabat,,Pengawasan Pengairan,11-05-2020,08-07-2020,Dinas Pertanian dan Pangan Kabupaten Banyuwangi
