judul,lokasi,keterangan,kategori,tanggal_awal,tanggal_akhir,klien
Palanning The Expansion of Acces Roads to The of CHING HWA INDONESIA,Kalimantan Timur ,,Perencanaan Jalan,11-8-2016,13-12-2016,PT. CHING HWA INDONESIA 
Jasa Perencanaan Peningkatan Kapasitas Jalan Usaha Tani Desa Sepanjang Kecamatan Glenmore,Desa Sepanjang Kec Glenmore Kab. Banyuwangi,,Perencanaan Jalan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Jasa Perencanaan Peningkatan Kapasitas Jalan Usaha Tani Desa Sumbergondo Kecamatan Glenmore,Desa  Sumbergondo  Kec Glenmore Kab. Banyuwangi,,Perencanaan Jalan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Jasa Perencanaan Peningkatan Kapasitas Jalan Usaha Tani Desa Tampo Kecamatan Cluring,Desa  Tampo  Kec Cluring Kab. Banyuwangi,,Perencanaan Jalan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Jasa Perencanaan Peningkatan Kapasitas Jalan Usaha Tani Desa Cluring Kecamatan Cluring,Desa  Cluring  Kec Cluring Kab. Banyuwangi,,Perencanaan Jalan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Jasa Perencanaan Peningkatan Kapasitas Jalan Usaha Tani Desa Bumiharjo Kecamatan Glenmore,Desa Bumiharjo Kec Glenmore Kab. Banyuwangi,,Perencanaan Jalan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Jasa Perencanaan Peningkatan Kapasitas Jalan Usaha Tani Desa Kaliploso Kecamatan Cluring,Desa Kaliploso Kec Cluring Kab. Banyuwangi,,Perencanaan Jalan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Jasa Perencanaan Peningkatan Kapasitas Jalan Usaha Tani Desa Bagorejo Kecamatan Srono,Desa Bagorejo Kec Srono Kab. Banyuwangi,,Perencanaan Jalan,1-2-2017,1-3-2017,Dinas Pertanian Kab. Banyuwangi
Perencanaan Mangrove Trail,Kawasan Taman Nasional Alas Purwo,,Perencanaan Jalan,11-4-2017,1-3-2017,Kementrian Lingkungan Hidup dan Kehutanan  Alas Purwo
Perencanaan Konstruksi Tahun 2018,Area Kawasan Taman Nasional Alas Purwo,,Perencanaan Jalan,28-08-2017,11-10-2017,Kementrian Lingkungan Hidup dan Kehutanan Balai Taman Nasional Alas Purwo
Jasa Perencanaan Peningkatan Kapasitas Jalan Usaha Tani (JUT) Desa Stail Kecamatan Sempu,Desa Stail Kecamatan Sempu,,Perencanaan Jalan,8-1-2018,5-2-2018,Dinas Pertanian Kab. Banyuwangi
Jasa Perencanaan Peningkatan Kapasitas Jalan Usaha Tani di Desa Kaligondon Kecamatan Genteng,Desa Kaligondon Kecamatan Genteng,,Perencanaan Jalan,8-1-2018,5-2-2018,Dinas Pertanian Kab. Banyuwangi
Jasa Perencanaan Peningkatan Kapasitas Jalan Usaha Tani (JUT) di Desa Kembiritan Kecamatan Genteng,Desa Kembiritan Kecamatan Genteng,,Perencanaan Jalan,8-1-2018,5-2-2018,Dinas Pertanian Kab. Banyuwangi
