judul,lokasi,keterangan,kategori,tanggal_awal,tanggal_akhir,klien
Perencanaan Pembangunan Sarana dan Prasarana Air Bersih IKK Genteng Kabupaten Banyuwangi,Kecamatan Genteng,,Perencanaan Pengairan,21-03-2017,19-04-2017,Dinas Pekerjaan Umum Pengairan Pemerintah Kabupaten Banyuwangi
Perencanaan Pembangunan Sarana dan Prasarana Air Bersih Desa Plampangrejo,Kecamatan Cluring Kabupaten Banyuwangi,,Perencanaan Pengairan,21-03-2017,19-04-2017,Dinas Pekerjaan Umum Pengairan Pemerintah Kabupaten Banyuwangi
Perencanaan Pembangunan Sarana dan Prasarana Air Bersih IKK Gambiran Kabupaten Banyuwangi,Kabupaten Banyuwangi,,Perencanaan Pengairan,21-03-2017,19-04-2017,Dinas Pekerjaan Umum Pengairan Pemerintah Kabupaten Banyuwangi
Perencanaan Pembangunan Sarana dan Prasarana Air Bersih Desa Siliragung ,Kecamatan Siliragung Kabupaten Banyuwangi,,Perencanaan Pengairan,21-03-2017,19-04-2017,Dinas Pekerjaan Umum Pengairan Pemerintah Kabupaten Banyuwangi
Perencanaan Pembangunan Sarana dan Prasarana Air Bersih Desa Sembulung,Kecamatan Cluring Kabupaten Banyuwangi,,Perencanaan Pengairan,21-03-2017,19-04-2017,Dinas Pekerjaan Umum Pengairan Pemerintah Kabupaten Banyuwangi
Pesanan Jasa Perencanaan Rehabilitasi-Pengembangan Jaringan Irigasi di Desa Kepundungan Kecamatan Srono,Kecamatan Srono,,Perencanaan Pengairan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Pesanan Jasa Perencanaan Rehabilitasi-Pengembangan Jaringan Irigasi di Desa Parijatahkulon,Kecamatan Srono,,Perencanaan Pengairan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Pesanan Jasa Perencanaan Rehabilitasi-Pengembangan Jaringan Irigasi di Desa Tulungrejo,Kecamatan Gambiran,,Perencanaan Pengairan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Pesanan Jasa Perencanaan Rehabilitasi-Pengembangan Jaringan Irigasi di Desa Sukonatar,Kecamatan Srono,,Perencanaan Pengairan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Pesanan Jasa Perencanaan Rehabilitasi-Pengembangan Jaringan Irigasi di Desa Benculuk,Kecamatan Cluring,,Perencanaan Pengairan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Pesanan Jasa Perencanaan Rehabilitasi-Pengembangan Jaringan Irigasi di Desa Rejoagung,Kecamatan Srono,,Perencanaan Pengairan,1-2-2017,14-02-2017,Dinas Pertanian Kab. Banyuwangi
Perencanaan Pengembangan Jaringan Irigasi di Desa Karangsari Kecamatan Sempu,Desa Karangsari Kecamatan Sempu,,Perencanaan Pengairan,8-1-2018,5-2-2018,Dinas Pertanian Kab. Banyuwangi
Perencanaan Pengembangan Jaringan Irigasi di Desa Sempu Kecamatan Sempu,Sempu Kecamatan Sempu,,Perencanaan Pengairan,8-1-2018,5-2-2018,Dinas Pertanian Kab. Banyuwangi
Jasa Perencanaan Rehabilitasi- Pengembangan Jaringan Irigasi Tersier di Desa Jambewangi Kecamatan Sempu,Desa Jambewangi Kecamatan Sempu,,Perencanaan Pengairan,8-1-2018,5-2-2018,Dinas Pertanian Kab. Banyuwangi
Perencanaan Pembangunan Dam Parit di Desa Jambewangi Kecamatan Sempu,Desa Jambewangi Kecamatan Sempu,,Perencanaan Pengairan,8-1-2018,5-2-2018,Dinas Pertanian Kab. Banyuwangi
Perencanaan Pembangunan Sarana dan Prasarana Air Bersih Desa Barurejo Siliragung – Ds. Karangdoro Tegalsari,Kab. Banyuwangi,,Perencanaan Pengairan,15-03-2018,13-04-2018,Dinas Pengairan Kabupaten Banyuwangi
Perencanaan Sarana dan Prasarana Air Bersih IKK Banyuwangi (Lanjutan),Kab. Banyuwangi,,Perencanaan Pengairan,15-03-2018,13-04-2018,Dinas Pengairan Kabupaten Banyuwangi
Perencanaan 001. Drainase Ds. Purwodadi Kec. Gambiran,Kecamatan Gambiran,,Perencanaan Pengairan,31-01-2018,21-03-2018,Dinas Pengairan Kabupaten Banyuwangi
Updating Database Drainase Kabupaten Banyuwangi,Kabupaten Banyuwangi,,Perencanaan Pengairan,22-10-2018,17-12-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Perencanaan Pengembangan Jaringan Irigasi Tersier di Desa Tegalharjo Kec. Glenmore,Kecamatan Glenmore,,Perencanaan Pengairan,7-1-2019,4-2-2019,Dinas Pertanian Kabupaten Banyuwangi
Perencanaan Pengembangan Jaringan Irigasi Tersier di Desa Tulungrejo Kecamatan Glenmore,Kecamatan Glenmore,,Perencanaan Pengairan,7-1-2019,4-2-2019,Dinas Pertanian Kabupaten Banyuwangi
Perencanaan Pengembangan Jaringan Irigasi di Desa Kasrangsari Kecamatan Sempu ,Kecamatan Sempu,,Perencanaan Pengairan,9-4-2019,9-5-2019,Dinas Pertanian Kabupaten Banyuwangi
Perencanaan Pengembangan Jaringan Irigasi Tersier di Desa Sepanjang Kecamatan Glenmore ,Kecamatan Glenmore,,Perencanaan Pengairan,9-4-2019,9-5-2019,Dinas Pertanian Kabupaten Banyuwangi
Perencanaan Pengembangan Jaringan Irigasi Tersier di Desa Setail Kecamatan Genteng ,Kecamatan Genteng,,Perencanaan Pengairan,9-4-2019,9-5-2019,Dinas Pertanian Kabupaten Banyuwangi
Perencanaan Pengembangan Jaringan Irigasi Tersier di Desa Tamansari Kecamatan Tegalsari ,Kecamatan Tegalsari,,Perencanaan Pengairan,9-4-2019,9-5-2019,Dinas Pertanian Kabupaten Banyuwangi
