judul,lokasi,keterangan,kategori,tanggal_awal,tanggal_akhir,klien
"Pengawasan Pelaksanaan Pembangunan Unit Gedung Baru PAUD Pembina, PAUD di Daerah 3 T, Ruang Kelas Baru (RKB), dan Rehap-Renovasi Gedung, PAUD",Seluruh PAUD di Indonesia,,Pengawasan Gedung,7-10-2016,14-12-2016,Kementrian Pendidikan dan Kebudayaan
Jasa Konsultansi Pengawasan Renovasi Interior dan Struktur Gedung B Lantai 4 Gedung Keuangan Negara Semarang I,Gedung Keuangan Negara Semarang I,,Pengawasan Gedung,7-8-2017,19-12-2017,Kementrian Keuangan Republik Indonesia
Konstultan Pengawas Pelaksanaan Pembangunan Unit Gedung Baru PAUD Pembinaan,"Bireun, Humbang Hasundutan, Cianjur, Surakarta, Nunukan, Sanggau, Kupang, Bulukumba",,Pengawasan Gedung,3-5-2017,25-09-2017,Kementrian Pendidikan dan Kebudayaan
Pengawasan Rehabilitasi dan Pengadaan Utilitas Unit Program Belajar Jarak – Jauh Universitas Terbuka (UPBJJ-UT) Palangkaraya,Kantor UPBJJ-UT Palangkaraya,,Pengawasan Gedung,5-7-2017,21-12-2017,"Kementrian Riset, Teknologi Dan Pendidikan Tinggi "
Pengadaan Jasa Konsultan Pengawas Pembangunan Gudang Beku Terintegrasi (Integrated Cold Storage - ICS) Kapasitas 100 Ton di Kab. Aceh Selatan,Kabupaten Aceh Selatan,,Pengawasan Gedung,3-8-2017,30-12-2017,Kementrian Kelautan dan Perikanan
Pengadaan Jasa Konsultan Pengawas Pembangunan Gudang Beku Terintegrasi (Integrated Cold Storage - ICS) Kapasitas 100 Ton di Kab. Flores Timur,Kabupaten Flores Timur,,Pengawasan Gedung,18-09-2017,31-12-2017,Kementrian Kelautan dan Perikanan
Pengadaan Jasa Konsultan Pengawas Pembangunan Gudang Beku Terintegrasi (Integrated Cold Storage - ICS) Kapasitas 100 Ton di Kab. Halmahera Timur,Kabupaten Halmahera Timur,,Pengawasan Gedung,28-07-2017,30-12-2017,Kementrian Kelautan dan Perikanan
Pengawasan Shelter ,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,9-5-2017,7-7-2017,Kementrian Lingkungan Hidup dan Kehutanan Taman Nasional Alas Purwo 
Pengawasan Pembangunan Pasar Rakyat Benculuk Kecamatan Cluring,Kecamatan Cluring,,Pengawasan Gedung,10-8-2017,31-12-2017,Dinas Perindustrian Dan Perdagangan
Pengawasan Peningkatan Kualitas Sarana Prasarana Wisata Alam di Trianggulasi,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,14-07-2017,11-12-2017,Kementrian Lingkungan Hidup dan Kehutanan Taman Nasional Alas Purwo
Pengawasan Peningkatan Kualitas Sarana Prasarana Wisata Alam di PPSA Ngagelan,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,13-07-2017,9-11-2017,Kementrian Lingkungan Hidup dan Kehutanan Taman Nasional Alas Purwo
Pengawasan Pembuatan Tower Pemantau Di Bama,Kawasan Taman Nasional Baluran,,Pengawasan Gedung,15-09-2017,20-12-2017,Kementrian Lingkungan Hidup dan Kehutanan Taman Nasional Baluran
Pengawasan Renovasi Menara Pandang Di Bekol,Kawasan Taman Nasional Baluran,,Pengawasan Gedung,7-9-2017,29-12-2017,Kementrian Lingkungan Hidup dan Kehutanan Taman Nasional Baluran
Pengawasan Pembangunan Gedung Layanan Pembelajaran Fakultas Ilmu – Ilmu Kesehatan,Komplek Gedung Universitas Soedirman,,Pengawasan Gedung,22-05-2017,18-10-2017,Kementrian Riset Teknologi Dan Pendidikan Tinggi Universitas Jendral Soedirman
"Pengawasan pemeliharaan tendon air (10 m3 dan 50 m3), pemeliharaan saluran air5 dan pengawasan rehap rumah dinas di Pelabuhan dan pengelolaan sumberdaya kelautan dan perikanan Bawean",Kabupaten Gresik,,Pengawasan Gedung,8-9-2017,22-10-2017,Dinas Kelautan dan Perikanan UPT Pelabuhan dan Pengelolaan Sumberdaya Kelautan Dan Perikanan Bawean
Jasa Konsultansi Pengawasan Pembangunan Gudang Beku Terintegrasi di Kab. Aceh Selatan,Kabupaten Aceh Selatan,,Pengawasan Gedung,31-12-2017,30-03-2018,Kementrian Kelautan dan Perikanan
Jasa Konsultansi Pengawasan Pembangunan Gudang Beku Terintegrasi di Kab. Flores Timur,Kabupaten Flores Timur,,Pengawasan Gedung,1-1-2018,31-03-2018,Kementrian Kelautan dan Perikanan
Jasa Konsultansi Pengawasan Pembangunan Gudang Beku Terintegrasi di Kab. Halmahera Timur,Kabupaten Halmahera Timur,,Pengawasan Gedung,31-12-2017,30-03-2018,Kementrian Kelautan dan Perikanan
Pengadaan Jasa Konsultansi Pengawas Penataan Kawasan Kumuh,Surakarta,,Pengawasan Gedung,20-06-2018,16-11-2018,Kementrian Pekerjaan Umum Dan Perumahan Rakyat
"Supervisi Pembangunan RTH Kws. Sukolilo, Kota Surabaya (Lanjutan) ",Surabaya ,,Pengawasan Gedung,23-05-2018,18-11-2018,Kementrian Pekerjaan Umum Dan Perumahan Rakyat
Pengawasan Penataan Kawasan Kebun Raya Eka Karya Bali,Kabupaten Tabanan,,Pengawasan Gedung,9-5-2018,4-8-2018,Kementrian Pekerjaan Umum Dan Perumahan Rakyat
Jasa Konsultan Pengawasan Lanjutan Rehap Gedung Puskesmas Buduran (Dinkes),Kabupaten Sidoarjo,,Pengawasan Gedung,27-08-2018,22-11-2018,Pemerintah Kabupaten Sidoarjo Dinas Pekerjaan Umum Dan Penataan Ruang
KSL-18.18 Pengawasan Pembangunan Pasar Gendoh 2 melalui Dana APBN TP TA. 2018,Kabupaten Banyuwangi ,,Pengawasan Gedung,3-9-2018,26-12-2018,Dinas Perindustrian Dan Perdagangan Kabupaten Banyuwangi
Pengawasan Pembangunan Single Cold Storage Kapasitas 200 Ton Di SKPT Mimika ,"Pelabuhan Poumako, Kabupaten Mimika",,Pengawasan Gedung,27-07-2018,31-12-2018,Kementrian Kelautan dan Perikanan
"Pengawasan Revitalisasi Cagar Budaya Situs Samudra Pasai, Aceh Utara ",Aceh Utara,,Pengawasan Gedung,31-10-2018,31-12-2018,Kementerian Pendidikan Dan Kebudayaan
Peningkatan Kualitas  Sarana Dan Prsarana Di Sadengan ,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,8-5-2018,14-08-2018,Kementrian Lingkungan Hidup dan Kehutanan Balai Taman Nasional Alas Purwo
Pengawasan Peningkatan Kualitas Sarana Dan Prasarana Wisata Alam Di Trianggtulasi Tahap III ,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,2-5-2018,9-8-2018,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
Pengawasan Pembuatan Plaza Terbuka Di Pandean Dan Pengawasan Pembuatan Art Shop Di Pandean,Kawasan Taman Nasional Baluran,,Pengawasan Gedung,31-08-2018,8-12-2018,Kementrian Lingkungan Hidup dan Kehutanan Taman Nasional Baluran
KSL-18.05 Pengawasan Pembangunan SMKN 2 Tegalsari,Kecamatan Tegalsari - Banyuwangi,,Pengawasan Gedung,21-08-2018,24-12-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang Kab. Banyuwangi
KSL-18.04 Pengawasan Pembangunan Terminal Pariwisata Terpadu (Lanjutan),Kecamatan Banyuwangi,,Pengawasan Gedung,9-8-2018,17-12-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang Kab. Banyuwangi
Jasa Konsultansi Pengawasan Pembangunan Gedung Kuliah Fakultas MIPA Universitas Jember,Fakultas MIPA Universitas Jember,,Pengawasan Gedung,24-10-2018,28-02-2019,Kementerian Pendidikan Dan Kebudayaan Univesitas Jember 
Pengawasan Rehap Puskesmas Bulukandang ,"Kecamatan Bulukandang, Kab. Pasuruan ",,Pengawasan Gedung,12-7-2018,9-10-2018,Dinas Kesehatan Kabupaten Pasuruan
Pengawasan Rehap Puskesmas Sebani,"Kecamatan Pandaan, Kab. Pasuruan",,Pengawasan Gedung,12-7-2018,28-10-2018,Dinas Kesehatan Kabupaten Pasuruan
Pengawasan Rehap Pastu Tejowangi - Purwosari,"Kecamatan Purwosari, Kab. Pasuruan",,Pengawasan Gedung,12-7-2018,9-10-2018,Dinas Kesehatan Kabupaten Pasuruan
Konsultan Pengawas Pembangunana Gedung Satpas Polres Situbondo (Gedung Dan Fasum) Dan Pekerjaan Lapangan Uji Praktek (Pekerjaan Jalan ,Kecamatan Kapongan Kabupaten Situbondo,,Pengawasan Gedung,22-05-2018,17-11-2018,Kepolisian Republik Indonesia Daerah Jawa Timur Resort Situbondo
Pengawasan Penataan Areal Publik Trianggulasi,Kawasan Taman Nasional Alas Purwo,,Pengawasan Gedung,17-10-2018,5-12-2018,Kementrian Lingkungan Hidup dan Kehutanan balai Taman Nasional Alas Purwo
