judul,lokasi,keterangan,kategori,tanggal_awal,tanggal_akhir,klien
Pengawasan Jalan Produksi Desa Tegaldlimo Kec. Tegaldlimo,Desa Tegaldlimo Kec. Tegaldlimo  Kab. Banyuwangi,,Pengawasan Jalan,29-03-2017,16-06-2017,"Dinas Pertanian, Kehutanan, dean Perkebunan"
Pengawasan Jalan Produksi Desa Kedungwungu Kec. Tegaldlimo,Desa Kedungwungu  Kec. Tegaldlimo  Kab. Banyuwangi,,Pengawasan Jalan,29-03-2017,16-06-2017,"Dinas Pertanian, Kehutanan, dean Perkebunan"
Pengawasan Jalan Produksi Desa Wringinpitu Kec. Tegaldlimo,Desa Wringinpitu  Kec. Tegaldlimo  Kab. Banyuwangi,,Pengawasan Jalan,29-03-2017,16-06-2017,"Dinas Pertanian, Kehutanan, dean Perkebunan"
Pengawasan Jalan Produksi Desa Purwosari Kec. Tegaldlimo,Desa Purwosari  Kec. Tegaldlimo  Kab. Banyuwangi,,Pengawasan Jalan,29-03-2017,19-06-2017,"Dinas Pertanian, Kehutanan, dean Perkebunan"
Pengawasan Jalan Produksi Desa Sidodadi Kec. Wongsorejo,Desa  Desa Sidodadi Kec. Wongsorejo Kab. Banyuwangi,,Pengawasan Jalan,29-03-2017,28-04-2017,"Dinas Pertanian, Kehutanan, dean Perkebunan"
Pengawasan Jalan Produksi Dsn. Gladag Desa Purwoagung Kec. Tegaldlimo,Dsn. Gladag Desa Purwoagung Kec. Tegaldlimo Kab. Banyuwangi,,Pengawasan Jalan,29-03-2017,17-06-2017,"Dinas Pertanian, Kehutanan, dean Perkebunan"
Pengawasan D 85. Pemeliharaan Jalan R. Supono Dsn. Krajan 1 Ds. Setail (Lanjutan),Dsn. Krajan Desa Setail Kec. Genteng Kab Banyuwangi,,Pengawasan Jalan,25-04-2017,25-07-2017,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang 
Pengawasan D 109. Pemiliharaan Jalan Ponpes An- Nurul Qodiri-Kembiritan (Lanjutan),Desa Kembiritan Kec. Genteng Kab Banyuwangi,,Pengawasan Jalan,24-05-2017,26-08-2017,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan D 110. Rehabilitasi / Pemeliharaan Jalan Rajawali (Lanjutan),Desa Genteng Kec. Genteng Kab Banyuwangi,,Pengawasan Jalan,29-05-2017,26-08-2017,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang 
Pengawasan D 132. Pemeliharaan Jalan Dsn. Sumberwadung - Dsn. Selorejo Desa Kaligondo,Desa Kaligondo Kec. Genteng Kab Banyuwangi,,Pengawasan Jalan,18-05-2017,15-08-2017,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang 
Pengawasan D 165. Pemeliharaan Jalan KH. Djunaidi Cs Desa Genteng Wetan,Desa Genteng Wetan Kec. Genteng Kab Banyuwangi,,Pengawasan Jalan,29-05-2017,26-08-2017,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang 
"Pengawasan D 167. Pemeliharaan Jalan Kyai, Ichwan Desa Setail",Desa Setail Kec. Genteng Kab Banyuwangi,,Pengawasan Jalan,22-05-2017,19-08-2017,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan D101. Pemeliharaan Jalan Karangmulyo - Pedotan ( Lanjutan ),Desa Karangmulyo Kec. Pedotan Kab Banyuwangi,,Pengawasan Jalan,29-05-2017,26-08-2017,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan D 70. Pemeliharaan Jalan Lingkar Blokagung ( Lanjutan ),Blokagung Kab Banyuwangi,,Pengawasan Jalan,02-05-2017,01-08-2017,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan DAK 3. Peningkatan/Pelebaran Jalan Kaliputih – Genteng Kulon,"Kecamatan Genteng, Banyuwangi",,Pengawasan Jalan,19-04-2017,17-07-2017,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan Pemotongan Obstacle di Ujung Runway 26 dan 08,Bandar Udara Blimbingsari Banyuwangi,,Pengawasan Jalan,12-10-2017,10-12-2017,Kementrian Perhubungan Direktorat Jendral Perhubungan Udara
Pengawasan Peningkatan Jalan Wisata,Kawasan Taman Nasional Alas Purwo,,Pengawasan Jalan,19-07-2017,15-11-2017,Kementrian Lingkungan Hidup dan Kehutanan  Alas Purwo
Pengawasan Perluasan Apron dan Taxiway UPBU Banyuwangi,Kabupaten Banyuwangi,,Pengawasan Jalan,14-04-2017,10-10-2017,Kementrian Perhubungan Direktorat Jendral Perhubungan Udara
Pengawasan Peningkatan Jalan Usaha Tani (JUT) di Desa Wonosobo Kecamatan Srono,Desa Wonosobo Kecamatan Srono,,Pengawasan Jalan,06-03-2018,27-04-2018,"Dinas Pertanian, Kehutanan, dan Perkebunan"
Pesanan Jasa Pengawasan Peningkatan Kapasitas Jalan Usaha Tani di Desa Kalibarumanis Kecamatan Kalibaru,Desa Kalibarumanis Kecamatan Kalibaru,,Pengawasan Jalan,06-03-2018,27-04-2018,Dinas Pertanian Kabupaten Banyuwangi
Pesanan Jasa Pengawasan Peningkatan Kapasitas Jalan Usaha Tani di Desa Banyuanyar Kecamatan Kalibaru,Desa Banyuanyar Kecamatan Kalibaru,,Pengawasan Jalan,06-03-2018,27-04-2018,Dinas Pertanian Kabupaten Banyuwangi
"Pengawasan DAK. 2 Peningkatan Kapasitas Jalan/ Pelebaran Jalan di Kec. Sempu, Kab Banyuwangi",Dsn. Sumber-wadung Ds. Sempu Kecamatan Sempu,,Pengawasan Jalan,29-03-2018,25-08-2018,Pekerjaan Umum Cipta Karya Dan Penataan Ruang
"Pengawasan D70. Pemeliharaan Jalan Umar Desa Genteng Kulon, Kecamatan Genteng",Kecamatan Genteng,,Pengawasan Jalan,11-07-2018,09-11-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang 
Pengawasan A5. Pelebaran Jalan Jenesari - Genteng,Kecamatan Genteng,,Pengawasan Jalan,11-07-2018,09-11-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan D68. Pemeliharaan Jalan SMPN 4 Menuju Gereja Injil Indonesia (GII) Desa Kembiritan Kecamatan Genteng ,Kecamatan Genteng,,Pengawasan Jalan,12-07-2018,12-11-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan B24. Pembangunan Penahan Badan Jalan Desa Kembiritan Kec. Genteng,Kecamatan Genteng,,Pengawasan Jalan,12-07-2018,07-11-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan B25. Pembangunan  Penahan Badan Jalan Desa Stail Kec. Genteng,Kecamatan Genteng,,Pengawasan Jalan,11-07-2018,09-11-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan A6. Pelebaran Jalan di Jl. Kyai Kholil Dusun Cangaan Desa Genteng Wetan ,Kecamatan Genteng,,Pengawasan Jalan,30-04-2018,30-08-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan Pembangunan Jalan Pada Sentra Kelautan dan Perikanan Terpadu (SKPT) Mimika,Kabupaten Mimika,,Pengawasan Jalan,24-08-2018,31-12-2018,Kementerian Kelautan dan Perikanan
Pengawasan Peningkatan Kualitas Akses Wisata Jatipapak-Sembulungan,Kawasan Taman Nasional Alas Purwo,,Pengawasan Jalan,21-01-2019,16-11-2019,Kementrian Lingkungan Hidup dan Kehutanan  Alas Purwo 
Pengawasan Pembangunan Jalan Produksi Hortikultura Desa Sembulung Kec. Cluring,Kecamatan Cluring,,Pengawasan Jalan,22-04-2019,20-05-2019,Dinas Pertanian Kabupaten Banyuwangi
Pengawasan Pembangunan Jalan Produksi Hortikultura Desa Semberagung Kec. Pesanggaran,Kecamatan Pesanggaran,,Pengawasan Jalan,22-04-2019,20-05-2019,Dinas Pertanian Kabupaten Banyuwangi
Pengawasan Pembangunan Jalan Produksi Hortikultura Desa Buluagung Kec. Siliragung,Kecamatan Siliragung,,Pengawasan Jalan,22-04-2019,20-05-2019,Dinas Pertanian Kabupaten Banyuwangi
Pengawasan Jalan Produksi Mendukung Hortikultura Dsn Ringinmulyo RT 01 RW 02 Desa Pesanggaran Kec Pesanggaran,Kecamatan Pesanggaran,,Pengawasan Jalan,22-05-2019,17-06-2019,Dinas Pertanian Kabupaten Banyuwangi
"KSL-19.01 Pengawasan DAK 1. Peningkatan Kapasitas Jalan/Pelebaran Jalan Di Kecamatan Kabat Kab. Banyuwangi (Jalan Pendarungan 1 dan 2, Jalan Rejosari 3, Jalan Banjarsari – Pendarungan)",Kecamatan Kabat,,Pengawasan Jalan,10-07-2019,15-12-2019,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan 056.15. Pavingisasi Jalan Lingk. Desa Sumberagung Kec. Pesanggaran,Desa Sumberagung Kec. Pesanggaran,,Pengawasan Jalan,01-10-2019,15-12-2019,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pengawasan 055.15. Pavingisasi Jalan Lingk. Desa Pesanggarang Kec. Pesanggaran,Desa Pesanggaran Kec. Pesanggaran,,Pengawasan Jalan,01-10-2019,15-12-2019,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
